_id,name,organization,driver.name,endpoint
54f419dcd2c4830936e6c82a,UMS,ООО «Universal Mobile Systems»,ums.new,http://172.18.15.170/paynet/paymentserver.php?wsdl
55ae373aea05384bd72e2eaa,Uzonline,АК «Узбектелеком»,uzmobile-bba,https://10.0.202.229:446/KKM_PG_GATE/
5630bc3ae71e91553ab935bf,Sarkor ,СП ООО «Sarkor Telecom»,generic,https://paysystem.sarkor.uz/payme
56c2c000ad5cf0346439c83e,Hostim Uz,СП ООО «Sarkor Telecom»,generic,https://paysystem.sarkor.uz/payme
56e8f2f5e6f46b5c1cbe51cb,Nano Telecom,ООО «NANO TELECOM»,nano-new,https://172.16.0.2:8443/bgbilling/mpsexecuter/21/1
57064988e6f46b5c1cbe6116,ART UZ PROMOTION AGENCY,ООО «ART UZ PROMOTION»,generic,https://myticket.uz/payme
57e905404f634eeea9d63613,mediabay.uz,ООО «Mediabay Asia»,generic,http://46.8.35.12/payme/index.php
5847bdeedacc172a8089fc04,Skyline,ООО «Lit-Tel»,skyline,https://gw.skyline.uz/
58511f74ad153fe5661cacf6,uybor,ООО «Seide International»,generic,https://api.uybor.uz/api/v1/payments/paycom
585bcbe7e084e20c50997928,Uzbektelecom,АК «Узбектелеком»,uzmobile-pstn,https://10.0.202.229:446/KKM_PG_GATE/
5860bc369619aaa94021f424,uybor,ООО «Seide International»,generic,https://avtobor.uz/api/payments_uz/paycom
589315b7afb81c0f68cbe584,Kapital bank,ATB «Kapitalbank»,credits.kapital-api,https://pay.kapital24.uz/JetB2OTPWS/ScriptExecutorWS
5899a92eafb81c0f68cbe58c,Invest-Finans bank,Invest-Finans bank,credits.nci,http://10.255.255.50:18081/isloan
58a2cd5f53d31d12dc4220a7,Davr bank,Davr bank,credits.nci,https://isloan.davrbank.uz/isloan/
58a57b6be271fbf1f0f95c7f,INTEGRITY SOLUTION,"ООО «""INTEGRITY SOLUTION"" MAS`ULIYATI CHEKLANGAN JAMIYAT»",generic,https://itrade.uz/?wc-api=wc_payme
58c6c811a8b7906e1d7a213d,TechnoRenz,ООО «TECHNOUNIT-GROUP MCHJ»,generic,https://pays.4u.uz/
58edd587f507110a78853927,Turon Bank,Turon Bank,turon-bank,http://192.168.7.243:3064/loan-api/loanapi/payme/
5909d164f507110a7885393c,Sarkor TV,СП ООО «Sarkor Telecom»,generic,https://paysystem.sarkor.uz/payme
5912eb516c3596548b4acfa7,topstudent.uz,ЧП «QANDIMOV SULAYMON TILAK O‘G‘LI»,generic,http://topstudent.uz/payme
5947b2dcf507111f98649786,Garant bank,Savdogar Bank,credits.fido,http://192.168.9.21:8080/fb-loan/onlinepay/payme/
59898b8d40d435212801926a,Trastbank,Trastbank,credits.fido,http://192.168.0.241:8080/fb-loan/onlinepay/payme/
59a0167b4e4319d92565b4c5,Кабельное телевидение,ООО «OREOL PLUS TV»,istv,https://31.135.208.6:10444/server.php
59e88cf05edcd7253218424f,MyTaxi,ООО «My Taxi Ops»,generic,https://api.mytaxi.uz/v1/paycom/merchant/driver-refill/
59f9ada61fe08a8d561ce273,APLGO,ООО «ИП ООО APLGO»,generic,https://backoffice.aplgo.com/pay_paycom/
5a00b5171fe08a8d561ce63a,Даракчи,ООО «Darakchi inform servis»,generic,https://api.darakchi.uz/ru/api/v1/payment/payme-merchant/
5a40d625fdc97e44a4923e14,Asakabank,Asakabank,credits.fido,http://172.16.50.85:7007/fb-loan/onlinepay/payme/
5a410a92fdc97e44a4923e16,Universalbank,Universalbank,credits.fido,http://10.48.208.102:8080/fb-loan/onlinepay/payme/
5a7321ef972245917e2fdf03,Hydro Life 18.9,ООО «BILLUR SUV»,generic,https://hydrolife.botagent.uz/payment/paycom
5a7d3d9a972245917e2fe8d0,crediton.uz,ООО «Missiriya Trans Biznes»,generic,https://crediton.uz/payments/payme.php
5a90065cbdf99c00e4231b1b,O`zsanoatqurilishbank,O`zsanoatqurilishbank,credits.fido,http://10.3.48.251/fb-loan/onlinepay/payme/
5ab8f99d7819302eec5d49d9,Ipoteka Bank,Ipoteka bank,credits.asbt,http://10.69.30.1:8080/payme_online/credit
5ad973162b9cc17e5ee1b9f1,ЧП Fortuna Universal Trading,ООО «Fortuna Universal Trading»,generic,https://biolavka.uz/?wc-api=wc_payme
