host_type,host_group,host,port,scheme,path,endpoint,organization,name,driver.name,_id
private_ip,10.0.202.0/24,10.0.202.229,446,https,/KKM_PG_GATE/,https://10.0.202.229:446/KKM_PG_GATE/,АК «Узбектелеком»,TelecomTV,uzmobile-iptv,5d91caff3b466e48e1dc1972
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",BBA - Munis - 0213,munis-tbc-testingcenter,6696558930c39cf3ab66748f
private_ip,10.100.115.0/24,10.100.115.73,80,http,/esbs,http://10.100.115.73:80/esbs,"АО «""TBC BANK"" ATB»",Оплата на расчётный счёт,pay-by-requisites-tbc,68e36ab7853ccd6b552170eb
private_ip,10.11.10.0/24,10.11.10.21,7001,http,/fb-loan/onlinepay/payme/,http://10.11.10.21:7001/fb-loan/onlinepay/payme/,Asia Alliance Bank,Asia Alliance Bank,credits.fido,5bc5d41b489ce62470205e2f
private_ip,10.255.255.0/24,10.255.255.50,18081,http,/isloan,http://10.255.255.50:18081/isloan,Invest-Finans bank,Invest-Finans bank,credits.nci,5899a92eafb81c0f68cbe58c
private_ip,10.3.48.0/24,10.3.48.251,80,http,/fb-loan/onlinepay/payme/,http://10.3.48.251/fb-loan/onlinepay/payme/,O`zsanoatqurilishbank,O`zsanoatqurilishbank,credits.fido,5a90065cbdf99c00e4231b1b
private_ip,10.31.50.0/24,10.31.50.21,6055,http,/fb-pay/services/payme,http://10.31.50.21:6055/fb-pay/services/payme,БПИ при генпрокуратуре РУз,МИБ,munis-mib,60a39df4b150b078e8df2401
private_ip,10.31.50.0/24,10.31.50.26,6055,http,/fb-pay/services/payme,http://10.31.50.26:6055/fb-pay/services/payme,Главное управление безопасности дорожного движения,ГУБДД,munis-dan,58d511728611444ee0570b8f
private_ip,10.35.48.0/24,10.35.48.100,9090,http,/,http://10.35.48.100:9090,АО «Anor Bank»,Anor Bank Рассрочка,anorbank-instalment-v2,60d56b221564ea3d365696b1
private_ip,10.43.49.0/24,10.43.49.1,8080,http,/loan/credit,http://10.43.49.1:8080/loan/credit,ООО Saderat Bank Credits»,Saderat Bank Credits,credits.asbt,5ec529c5a66c1a3017f01c5b
private_ip,10.48.208.0/24,10.48.208.102,8080,http,/fb-loan/onlinepay/payme/,http://10.48.208.102:8080/fb-loan/onlinepay/payme/,Universalbank,Universalbank,credits.fido,5a410a92fdc97e44a4923e16
private_ip,10.5.48.0/24,10.5.48.240,8080,http,/fb-loan/onlinepay/payme/,http://10.5.48.240:8080/fb-loan/onlinepay/payme/,Mikrokreditbank,Mikrokreditbank,credits.fido,601d38423b640f425ede1aca
private_ip,10.69.30.0/24,10.69.30.1,8080,http,/payme_online/credit,http://10.69.30.1:8080/payme_online/credit,Ipoteka bank,Ipoteka Bank,credits.asbt,5ab8f99d7819302eec5d49d9
private_ip,172.16.0.0/24,172.16.0.2,8443,https,/bgbilling/mpsexecuter/21/1,https://172.16.0.2:8443/bgbilling/mpsexecuter/21/1,ООО «NANO TELECOM»,Nano Telecom,nano-new,56e8f2f5e6f46b5c1cbe51cb
private_ip,172.16.49.0/24,172.16.49.56,7779,http,/fb-loan/onlinepay/payme/,http://172.16.49.56:7779/fb-loan/onlinepay/payme/,AKБ «Biznesi Rivojlantirish Banki»,Biznesni Rivojlantirish Banki,credits.fido,5e2047a17e9d572738eb3de6
private_ip,172.16.50.0/24,172.16.50.85,7007,http,/fb-loan/onlinepay/payme/,http://172.16.50.85:7007/fb-loan/onlinepay/payme/,Asakabank,Asakabank,credits.fido,5a40d625fdc97e44a4923e14
private_ip,172.17.9.0/24,172.17.9.120,56890,http,/,http://172.17.9.120:56890,АО 'PAYME',Оплата услуги Мониторинг,generic,6641fe86fe41a3907df96e7a
private_ip,172.17.9.0/24,172.17.9.165,3969,http,/,http://172.17.9.165:3969,АО «АО 'PAYME'»,Погашение отсрочки,generic,6724d0a0e51de1c6a3a764db
private_ip,172.17.9.0/24,172.17.9.166,8485,http,/,http://172.17.9.166:8485,АО 'PAYME',Payme Plus | Всё включено,generic,66e3f2ff43059d2bd918e265
private_ip,172.17.9.0/24,172.17.9.187,3124,http,/,http://172.17.9.187:3124,СП ООО «Inspired»,Inspired,generic,6565d9db7d369d0761b690b9
private_ip,172.17.9.0/24,172.17.9.197,4388,http,/,http://172.17.9.197:4388,"ООО «""KREDIT-AXBOROT TAHLILY MARKAZI"" MCHJ»",Получение кредитной истории,generic,68b8214f8f3347fe865a2f10
private_ip,172.17.9.0/24,172.17.9.197,5689,http,/,http://172.17.9.197:5689,СП ООО «Inspired»,Мониторинг платежей,generic,5bdc2a21489ce62470205ed9
private_ip,172.17.9.0/24,172.17.9.197,44555,http,/,http://172.17.9.197:44555,"АО «""AVTOMATLASHTIRILGAN TRANSPORT TO`LOV TIZIMI OPERATORI"" AJ»",ATTO,atto-metro,683996efdfc9ac047367fa45
private_ip,172.17.9.0/24,172.17.9.198,3124,http,/,http://172.17.9.198:3124,СП ООО «Inspired»,Inspired,generic,65015f25fa828fc4a2e3f27b
private_ip,172.17.9.0/24,172.17.9.230,3448,http,/,http://172.17.9.230:3448,"ООО «""TARONA MEDIA"" MCHJ»",TARONA MEDIA,generic,665eb484506c1cb0b5220520
private_ip,172.17.9.0/24,172.17.9.230,8000,http,/,http://172.17.9.230:8000,АО «АО 'PAYME'»,EasyBooking,avia,69301a9202b0836eec719f6e
private_ip,172.17.9.0/24,172.17.9.230,8485,http,/,http://172.17.9.230:8485/,АО «АО 'PAYME'»,PAYME,generic,69b13ac395bb65811364becb
private_ip,172.17.9.0/24,172.17.9.239,7900,http,/,http://172.17.9.239:7900,"ООО «""EASYBOOKING"" MCHJ»",EasyBooking.Uz,avia,695e0fa2129dca1effbfdb58
private_ip,172.17.9.0/24,172.17.9.240,3448,http,/,http://172.17.9.240:3448,"ООО «""AFSONA-TRAVEL"" MAS'ULIYATI CHEKLANGAN JAMIYAT»",AFSONA travel,tickets,68905ba0cab302211ad1c479
private_ip,172.17.9.0/24,172.17.9.240,3448,http,/,http://172.17.9.240:3448/,"ООО «""ANOR ORIENT"" MCHJ»","""ANOR ORIENT"" MCHJ",generic,683414b4dfc9ac04736786e2
private_ip,172.18.15.0/24,172.18.15.170,80,http,/paynet/paymentserver.php,http://172.18.15.170/paynet/paymentserver.php?wsdl,ООО «Universal Mobile Systems»,UMS,ums.new,54f419dcd2c4830936e6c82a
private_ip,172.20.21.0/24,172.20.21.55,8080,http,/,http://172.20.21.55:8080,АО «HAYOT BANK»,HAYOT BANK,credits.hayot-bank,67d805ffed17d6583aa1d2a1
private_ip,172.25.25.0/24,172.25.25.207,80,http,/isloan,http://172.25.25.207/isloan,Anor Bank,Anor Bank,credits.nci,60056dbc2b6a141db0f2b41d
private_ip,192.168.0.0/24,192.168.0.241,8080,http,/fb-loan/onlinepay/payme/,http://192.168.0.241:8080/fb-loan/onlinepay/payme/,Trastbank,Trastbank,credits.fido,59898b8d40d435212801926a
private_ip,192.168.7.0/24,192.168.7.243,3064,http,/loan-api/loanapi/payme/,http://192.168.7.243:3064/loan-api/loanapi/payme/,Turon Bank,Turon Bank,turon-bank,58edd587f507110a78853927
private_ip,192.168.9.0/24,192.168.9.21,8080,http,/fb-loan/onlinepay/payme/,http://192.168.9.21:8080/fb-loan/onlinepay/payme/,Savdogar Bank,Garant bank,credits.fido,5947b2dcf507111f98649786
public_ip,107.170.13.0/24,107.170.13.58,80,http,/payme/,http://107.170.13.58/payme/,"ООО «""MINDSET RESET"" MCHJ»",MINDSET RESET,generic,6798a903320c36e44debea9b
public_ip,109.248.56.0/24,109.248.56.253,80,http,/payin/payme/payin.php,http://109.248.56.253/payin/payme/payin.php,"ООО «""A-ZZ-A SERVICE"" МЧЖ»",Интернет,generic,6113a8ff754e932e68fd8560
public_ip,146.120.19.0/24,146.120.19.240,8443,https,/paymeuz/payment/merchant-api,https://146.120.19.240:8443/paymeuz/payment/merchant-api,ННО «Университет Инха в городе Ташкенте»,Университет Инха в городе Ташкенте,generic,61b1a0bd204c85a50a879b4d
public_ip,146.120.232.0/24,146.120.232.20,9443,https,/paysys_check.cgi,https://146.120.232.20:9443/paysys_check.cgi,ООО «DANIEL GROUP TELECOM MCHJ»,DGT,generic,6006a38075d4416c5fb73876
public_ip,146.158.15.0/24,146.158.15.250,1444,http,/paycom_uz.php,http://146.158.15.250:1444/paycom_uz.php,"ООО «ООО ""ARTV UNION""»",OOO ARTV UNION,generic,61dd558d94e58c782a4689af
public_ip,146.158.94.0/24,146.158.94.97,5869,http,/api/payme/index.php,http://146.158.94.97:5869/api/payme/index.php,"ООО «""KOLBERG MEDICAL"" MCHJ»",KOLBERG MEDICAL,generic,66d85fe89412202b2cc4e710
public_ip,159.223.218.0/24,159.223.218.113,3000,http,/payme,http://159.223.218.113:3000/payme,"ООО «""STONE ALLIANCE GROUP"" MCHJ»",STONE ALLIANCE GROUP,generic,63fdcf6c77e4473b99e3235a
public_ip,159.89.107.0/24,159.89.107.246,1810,http,/paycom/,http://159.89.107.246:1810/paycom/,"ООО «""PULATOV SCHOOL"" MChJ»",PULATOV SCHOOL,generic,66ec194343059d2bd9197a1c
public_ip,164.92.216.0/24,164.92.216.221,5111,http,/api/payment/,http://164.92.216.221:5111/api/payment/,ООО «OOO ABC Trend Bakery»,Trend Bakery,generic,65eef141d187b1a144af69c3
public_ip,167.233.42.0/24,167.233.42.72,80,http,/payme,http://167.233.42.72/payme,ЧП «ODILJONOV MUHAMMADALI»,ODILJONOV MUHAMMADALI MUHAMMADJON O‘G‘LI,generic,6a2bfb5a131c4ffc2d6f579a
public_ip,167.71.32.0/24,167.71.32.27,5000,http,/payment/payme,http://167.71.32.27:5000/payment/payme,ЧП «RISKIYEVA NIGORAXON»,RISKIYEVA NIGORAXON KAYUMOVNA,generic,673af0eaddf30f131303f976
public_ip,167.86.102.0/24,167.86.102.118,80,http,/api/v1/common/payme/,http://167.86.102.118/api/v1/common/payme/,ЧП «MUHAMMADJONOV ANVARJON»,MUHAMMADJONOV ANVARJON AMINJON O‘G‘LI,generic,685a6f4f04711a17e505b437
public_ip,173.212.243.0/24,173.212.243.187,80,http,/payment/payme,http://173.212.243.187/payment/payme,ЧП «Docuiz Bot»,Docuiz,generic,66f262898ecbad0bfeb972e2
public_ip,176.96.241.0/24,176.96.241.199,3030,http,/payme/djolis,http://176.96.241.199:3030/payme/djolis,"ООО «""PROFESSIONAL BEAUTY AESTHETIC"" MCHJ»",Djolis,generic,67457208c628bf0c13f5a459
public_ip,176.96.241.0/24,176.96.241.199,3030,http,/payme/mak,http://176.96.241.199:3030/payme/mak,"ООО «""PROFESSIONAL BEAUTY AESTHETIC"" MCHJ»",PROFESSIONAL BEAUTY AESTHETIC,generic,6761298f48de70c8498fa27a
public_ip,176.96.241.0/24,176.96.241.199,3030,http,/payme/stom,http://176.96.241.199:3030/payme/stom,"ООО «""PROFESSIONAL BEAUTY AESTHETIC"" MCHJ»",PROFESSIONAL BEAUTY AESTHETIC,generic,67612a5bb42aa8a5adaa4e51
public_ip,176.96.241.0/24,176.96.241.199,3030,http,/payme_bot/men,http://176.96.241.199:3030/payme_bot/men,"ООО «""AMIR KAPITAL LYUKS"" MAS'ULIYATI CHEKLANGAN JAMIYAT»","ООО ""AMIR KAPITAL LYUKS""",generic,6940f5c706dc3210cdcab584
public_ip,185.100.54.0/24,185.100.54.4,6465,http,/payme/pay,http://185.100.54.4:6465/payme/pay,"ООО «""BEON"" MCHJ»",BEON,generic,67dc56b4d4f3ae7aa06b3780
public_ip,185.100.55.0/24,185.100.55.56,8009,http,/payment/payme/,http://185.100.55.56:8009/payment/payme/,"ООО «""NURAFSHON AUTO ZONE"" MAS'ULIYATI CHEKLANGAN JAMIYAT»",Abozor,generic,68383837ce1722a4c5398ee1
public_ip,185.203.239.0/24,185.203.239.116,37777,http,/api/v1/payme,http://185.203.239.116:37777/api/v1/payme,ООО «SAMARKAND TOURISTIC CENTRE MCHJ»,SAMARKAND TOURISTIC CENTRE,generic,660aa2eb8dd95c4de5e16284
public_ip,185.211.128.0/24,185.211.128.250,1444,http,/paycom_uz.php,http://185.211.128.250:1444/paycom_uz.php,ООО «NOVA GROUP»,T-NET,generic,5ec51db56420f3660dc93ba0
